Colaborador,Fuente,Sexo,Origen,Nacimiento,Muerte
"Abarzuza, Francisco de",http://viaf.org/viaf/315538216,M,NA,1838,1910
"Abela, Eduardo",http://viaf.org/viaf/141377982,M,Cuba,1889,1965
"Abramowicz, Maurice",http://viaf.org/viaf/22384102,M,Argentina,1901,1981
"Abramson, Benzion Mironovich",http://biblioteca.clacso.edu.ar/clacso/se/20170929050638/America_Latina_en_la_internacional_comunista.pdf,M,Rusia,1888,1965
"Abrantes, Ventura",http://viaf.org/viaf/285606623,M,Portugal,1883,1956
"Abreu Gómez, Emilo",http://viaf.org/viaf/90155444,M,México,1894,1971
"Abril, Manuel",http://viaf.org/viaf/38153068,M,España,1884,1943
"Abril, Xavier",http://viaf.org/viaf/54160403,M,Perú,1905,1990
"Acebal, Francisco",http://viaf.org/viaf/25927607,M,España,1866,1933
"Acebal, Sergio",http://viaf.org/viaf/87311923,M,Cuba,1889,1956
"Acevedo Escobedo, Antonio",http://viaf.org/viaf/31149672,M,España,1909,1985
"Acevedo, Olga",http://viaf.org/viaf/58647799,F,Chile,1895,1970
"Acín, Ramón",http://viaf.org/viaf/50026984,M,España,1888,1936
"Acosta Cárdenas, Miguelina",http://www.heroinas.net/2017/08/miguelina-acosta-cardenas-anarquista.html,F,Perú,1887,1933
"Acosta, Agustín",http://viaf.org/viaf/33528543,M,Cuba,1886,1979
"Acosta, José María de",http://viaf.org/viaf/46583137,M,España,1881,1936
"Acosta, Vicente",http://viaf.org/viaf/310665693,M,El Salvador,1867,1908
"Adam Galarreta, Luis",http://viaf.org/viaf/311453033,M,NA,NA,NA
"Adam, Paul",http://viaf.org/viaf/4938246,M,Francia,1862,1920
"Adán, Martín",http://viaf.org/viaf/92254878,M,Perú,1908,1985
"Adler, María Raquel",http://viaf.org/viaf/88961908,F,Argentina,1901,1974
"Adsuara, Juan",http://viaf.org/viaf/11051597,M,España,1891,1973
"Afán de Ribera, Antonio Joaquín",http://viaf.org/viaf/11915899,M,España,1834,1906
"Agelet i Garriga, Jaume",http://viaf.org/viaf/15883961,M,España,1888,1981
"Aggerholm de Vázquez Día, Eva","http://viaf.org/viaf/87632899/#Aggerholm_de_V%C3%A1zquez_D%C3%ADaz,_Eva_1882-1959",F,España,1882,1959
"Agorio, Adolfo",http://viaf.org/viaf/296751678,M,Uruguay,1888,1965
"Agosti, Héctor Pablo",http://viaf.org/viaf/93108678,M,Argentina,1911,1984
"Agostinho, José",http://viaf.org/viaf/58131368,M,Portugal,1866,1938
"Agramonte y Pichardo, Roberto Daniel",http://viaf.org/viaf/17599677,M,Cuba,1904,1995
"Aguilera y Arjona, Alberto",http://viaf.org/viaf/304922073,M,España,1875,1936
"Aguilera y Velasco, Alberto",http://viaf.org/viaf/86771723,M,España,1842,1913
"Aguirre, Junio",https://autores.uy/autor/2904,M,Uruguay,1892,1960
"Aiken, Conrad",http://viaf.org/viaf/71433883,M,Estados Unidos,1889,1973
"Aizpurúa Azqueta, José Manuel",http://viaf.org/viaf/62642662,M,España,1904,1936
