"Revista","NumContribucion","Titulo","Fasciculo","Fecha","Fecha.ISO","Colaborador","SeudonimoFirma","Rol","Sexo","PaisOrigen","Nacimiento","Muerte","Traduccion","Traductor","Lengua","LenguaOriginal","Tipo","TipoIndice","Dedicatoria","ObrasResenadas","CantitadPaginas","Paginacion"
"Alpha","1","Homilia N.°I.","Año I. Número 1","marzo de 1906","1906-03-01","Carrasquilla, Tomás",NA,"Creador","M","Colombia","1858","1940","No",NA,"Español",NA,"Prosa No Ficción",NA,"Luis Cano. El banjamín de la Partida",NA,14.5,"1-15"
"Alpha","2","El guante","Año I. Número 1","marzo de 1906","1906-03-01","Schiller, Friedrich",NA,"Creador","M","Alemania","1759","1805","Sí","Latorre, Gabriel","Español","Alemán","Poesía",NA,NA,NA,2,"16-17"
"Alpha","3","Vox Populi","Año I. Número 1","marzo de 1906","1906-03-01","Villiers de L'Isle-Adam, Auguste de","Villiers de L'Isle-Adam","Creador","M","Francia","1838","1889","Sí","Restrepo Restrepo, Carlos Eugenio","Español","Francés","Prosa Ficción",NA,"Leconte de L´isle",NA,3,"18-21"
"Alpha","4","Cuadros de la Naturaleza. Las Hormigas","Año I. Número 1","marzo de 1906","1906-03-01","Uribe, Joaquín Antonio",NA,"Creador","M","Colombia","1858","1935","No",NA,"Español",NA,"Prosa Ficción",NA,NA,NA,2,"22-23"
"Alpha","5","Napoles (de una cartera de viajes)","Año I. Número 1","marzo de 1906","1906-03-01","Gaviria, José A.","Gaviria, J.A., Nápoles","Creador","M","Colombia",NA,NA,"No",NA,"Español",NA,"Prosa Ficción",NA,NA,NA,3,"24-27"
"Alpha","6","Doce Años","Año I. Número 1","marzo de 1906","1906-03-01","Altenberg, Peter",NA,"Creador","M","Austria","1859","1919","Sí","Anónimo","Español","Alemán","Prosa Ficción",NA,NA,NA,1.5,"28-29"
"Alpha","7","Crónica literaria: Esta Omega del Alpha","Año I. Número 1","marzo de 1906","1906-03-01","Montoya, José",NA,"Creador","M","Colombia",NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Crónica literaria",NA,NA,0.5,"30"
"Alpha","8","Crónica literaria: Gabriel Latorre","Año I. Número 1","marzo de 1906","1906-03-01","Montoya, José",NA,"Creador","M","Colombia",NA,NA,"No",NA,"Español",NA,"Reseña","Crónica literaria",NA,"Kundry de Gabriel Latorre",3.5,"30-34"
"Alpha","9","Crónica literaria: Sebastián Hoyos","Año I. Número 1","marzo de 1906","1906-03-01","Montoya, José",NA,"Creador","M","Colombia",NA,NA,"No",NA,"Español",NA,"Reseña","Crónica literaria",NA,"Hija espiritual de Alfonso Castro",1.5,"34-35"
"Alpha","10","Crónica literaria: Sebastián Hoyos","Año I. Número 1","marzo de 1906","1906-03-01","Montoya, José",NA,"Creador","M","Colombia",NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Conferencia",NA,NA,0.5,"36"
"Alpha","11","Crónica literaria: Abel Farina","Año I. Número 1","marzo de 1906","1906-03-01","Montoya, José",NA,"Creador","M","Colombia",NA,NA,"No",NA,"Español",NA,"Reseña","Crónica literaria",NA,"Crisálidas de Abel Farina",1.8,"36-38"
"Alpha","12","Crónica literaria: La novela Diego Velasco","Año I. Número 1","marzo de 1906","1906-03-01","Montoya, José",NA,"Creador","M","Colombia",NA,NA,"No",NA,"Español",NA,"Reseña","Crónica literaria",NA,"Diego Velasco de Máximo Lorenzana",1.3,"38-40"
"Alpha","13","Crónica literaria: El centro artístico","Año I. Número 1","marzo de 1906","1906-03-01","Montoya, José",NA,"Creador","M","Colombia",NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Crónica literaria",NA,NA,0.7,"40"
"Alpha","14a","Para empezar","Año I. Número 1","marzo de 1906","1906-03-01","Ospina Vásquez, Mariano","La Dirección","Director","M","Colombia","1869","1941","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,1.5,"41-42"
"Alpha","14b","Para empezar","Año I. Número 1","marzo de 1906","1906-03-01","Cano, Antonio José","La Dirección","Director","M","Colombia","1874","1942","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,1.5,"41-42"
"Alpha","14c","Para empezar","Año I. Número 1","marzo de 1906","1906-03-01","Greiff, Luis de","La Dirección","Director","M","Colombia","1908","1952","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,1.5,"41-42"
"Alpha","15","La Revista Contemporánea","Año I. Número 1","marzo de 1906","1906-03-01","Restrepo, Saturnino",NA,"Reseñista","M","Colombia","1877","1961","No",NA,"Español",NA,"Reseña de revista","Notas editoriales",NA,"Revista Contemporánea",1,"42-43"
"Alpha","16a","Homenaje","Año I. Número 1","marzo de 1906","1906-03-01","Ospina Vásquez, Mariano","La Dirección","Director","M","Colombia","1869","1941","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,0.5,"43-44"
"Alpha","16b","Homenaje","Año I. Número 1","marzo de 1906","1906-03-01","Cano, Antonio José","La Dirección","Director","M","Colombia","1874","1942","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,0.5,"43-44"
"Alpha","16c","Homenaje","Año I. Número 1","marzo de 1906","1906-03-01","Greiff, Luis de","La Dirección","Director","M","Colombia","1908","1952","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,0.5,"43-44"
"Alpha","17","""Lectura y Arte""","Año I. Número 1","marzo de 1906","1906-03-01","Anónimo",NA,"Creador",NA,NA,NA,NA,"No",NA,"Español",NA,"Prosa Ficción","Notas editoriales",NA,NA,0.5,"44"
"Alpha","18","La tristeza del  Quijote","Año I. Número 2","abril de 1906","1906-04-01","Martínez Sierra, Gregorio",NA,"Crítico","M","España","1881","1947","No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,9,"45-54"
"Alpha","19","El monologo de todos los días","Año I. Número 2","abril de 1906","1906-04-01","Restrepo Restrepo, Antonio María","Abel Farina","Creador","M","Colombia","1875","1921","No",NA,"Español",NA,"Poesía",NA,NA,NA,2,"55-56"
"Alpha","20","Escritor","Año I. Número 2","abril de 1906","1906-04-01","Maragall, Juan",NA,"Crítico","M","España","1860","1911","No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,3,"57-60"
"Alpha","21","El enemigo (Fragmento)","Año I. Número 2","abril de 1906","1906-04-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Fragmento",NA,NA,9,"61-70"
"Alpha","22","Serenata","Año I. Número 2","abril de 1906","1906-04-01","Jaramillo, Bernardo",NA,"Creador","M","Colombia","1884","1952","No",NA,"Español",NA,"Poesía",NA,NA,NA,2,"71-72"
"Alpha","23","Carneros emisarios","Año I. Número 2","abril de 1906","1906-04-01","Cano Gutiérrez, Fidel",NA,"Crítico","M","Colombia","1854","1919","No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,5,"73-78"
"Alpha","24","¡To Pomporica!","Año I. Número 2","abril de 1906","1906-04-01","Medina, Vicente",NA,"Creador","M","España","1866","1937","No",NA,"Español",NA,"Poesía",NA,NA,NA,2,"79-80"
"Alpha","25","Desfile de alumnos","Año I. Número 2","abril de 1906","1906-04-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,2.8,"81-84"
"Alpha","26","Nota importante","Año I. Número 2","abril de 1906","1906-04-01","Anónimo",NA,"Creador",NA,NA,NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,0.4,"84"
"Alpha","27","Un libro útil","Año I. Número 2","abril de 1906","1906-04-01","Anónimo",NA,"Reseñista",NA,NA,NA,NA,"No",NA,"Español",NA,"Reseña","Notas editoriales",NA,"Primer directorio general de la ciudad de Medellín",0.4,"84"
"Alpha","28","Contra-Homilia","Año I. Número 3","mayo de 1906","1906-05-01","Grillo, Maximiliano",NA,"Crítico","M","Colombia","1868","1949","No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,4,"85-89"
"Alpha","29","A Elena","Año I. Número 3","mayo de 1906","1906-05-01","Poe, Edgar Allan",NA,"Creador","M","Estados Unidos","1809","1849","Sí","Latorre, Gabriel","Español","Inglés","Poesía",NA,NA,NA,3,"90-92"
"Alpha","30","El palacio de la felicidad","Año I. Número 3","mayo de 1906","1906-05-01","Rendón, Francisco de Paula","F. de P., Rendón","Creador","M","Colombia","1855","1917","No",NA,"Español",NA,"Prosa Ficción",NA,NA,NA,11,"93-104"
"Alpha","31","Talvez…","Año I. Número 3","mayo de 1906","1906-05-01","Ospina Vásquez, Mariano","Moi","Creador","M","Colombia","1869","1941","No",NA,"Español",NA,"Poesía",NA,NA,NA,0.5,"105"
"Alpha","32","Tregua","Año I. Número 3","mayo de 1906","1906-05-01","Ospina Vásquez, Mariano","Moi","Creador","M","Colombia","1869","1941","No",NA,"Español",NA,"Poesía",NA,NA,NA,0.5,"105"
"Alpha","33","Cuadros de la Naturaleza. Los pájaros","Año I. Número 3","mayo de 1906","1906-05-01","Uribe, Joaquín Antonio",NA,"Creador","M","Colombia","1858","1935","No",NA,"Español",NA,"Prosa Ficción",NA,NA,NA,1.7,"106-107"
"Alpha","34","Balbuceos primaverales","Año I. Número 3","mayo de 1906","1906-05-01","Villegas, Aquilino",NA,"Creador","M","Colombia","1880","1940","No",NA,"Español",NA,"Poesía",NA,NA,NA,2,"108-109"
"Alpha","35","El ermitaño","Año I. Número 3","mayo de 1906","1906-05-01","Wilde, Oscar",NA,"Creador","M","Irlanda","1854","1900","Sí","Anónimo","Español","Alemán","Prosa Ficción",NA,"(traducido del Alemán para Alpha)",NA,3,"110-113"
"Alpha","36","Apoteosis del mármol","Año I. Número 3","mayo de 1906","1906-05-01","Blasco Ibáñez, Vicente",NA,"Creador","M","España","1867","1928","No",NA,"Español",NA,"Prosa Ficción",NA,NA,NA,4,"114-118"
"Alpha","37","Bien Faire et laisser dire","Año I. Número 3","mayo de 1906","1906-05-01","Soto Borda, Clímaco",NA,"Creador","M","Colombia","1870","1919","No",NA,"Español",NA,"Poesía",NA,"Restrepo, Carlos E",NA,1,"119"
"Alpha","38","J.M. de Heredia","Año I. Número 3","mayo de 1906","1906-05-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,1.5,"120-121"
"Alpha","39","Marcel Schwob","Año I. Número 3","mayo de 1906","1906-05-01","Restrepo, Saturnino",NA,"Creador","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,1,"121-122"
"Alpha","40","Los libros y el crimen","Año I. Número 3","mayo de 1906","1906-05-01","Restrepo, Saturnino",NA,"Crítico","M","Colombia","1877","1961","No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,2,"122-124"
"Alpha","41","""Entrañas de niño""","Año I. Número 3","mayo de 1906","1906-05-01","Anónimo",NA,"Creador",NA,NA,NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,0.2,"124"
"Alpha","42","Gracias","Año I. Número 3","mayo de 1906","1906-05-01","Anónimo",NA,"Creador",NA,NA,NA,NA,"No",NA,"Español",NA,"Prosa No Ficción","Notas editoriales",NA,NA,0.3,"124"
"Alpha","43","Sobre sociotecnia","Año I. Número 4","junio de 1906","1906-06-01","Betancourt Villegas, Félix",NA,"Creador","M","Colombia","1872","1948","No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,8,"125-133"
"Alpha","44","Febrero antioqueño (Sensación de paisaje)","Año I. Número 4","junio de 1906","1906-06-01","Ospina Vásquez, Mariano","M.O.V","Creador","M","Colombia","1869","1941","No",NA,"Español",NA,"Poesía",NA,NA,NA,1,"132"
"Alpha","45","Estrañas de niño","Año I. Número 4","junio de 1906","1906-06-01","Carrasquilla, Tomás",NA,"Creador","M","Colombia","1858","1940","No",NA,"Español",NA,"Prosa Ficción","Novela",NA,NA,8.5,"135-144"
"Alpha","46","Sibila","Año I. Número 4","junio de 1906","1906-06-01","Robledo, Eusebio",NA,"Creador","M","Colombia","1872","1926","No",NA,"Español",NA,"Poesía","Poesía",NA,NA,4,"145-149"
"Alpha","47","De crítica","Año I. Número 4","junio de 1906","1906-06-01","Castro, Alfonso",NA,"Crítico","M","Colombia","1878","1943","No",NA,"Español",NA,"Prosa No Ficción",NA,NA,NA,7,"150-157"
