NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Alpha,1,"Carrasquilla, Tomás",Creador,NA,Colombia,Homilia N.°I.,Año I. Número 1,marzo de 1906,1906-03-01,No,NA,Español,NA,Prosa No Ficción,NA,Luis Cano. El banjamín de la Partida,NA,14.5,1-15
Alpha,2,"Schiller, Friedrich",Creador,NA,Alemania,El guante,Año I. Número 1,marzo de 1906,1906-03-01,Sí,"Latorre, Gabriel",Español,Alemán,Poesía,NA,NA,NA,2,16-17
Alpha,3,"Villiers de L'Isle-Adam, Auguste de",Creador,Villiers de L'Isle-Adam,Francia,Vox Populi,Año I. Número 1,marzo de 1906,1906-03-01,Sí,"Restrepo Restrepo, Carlos Eugenio",Español,Francés,Prosa Ficción,NA,Leconte de L´isle,NA,3,18-21
Alpha,4,"Uribe, Joaquín Antonio",Creador,NA,Colombia,Cuadros de la Naturaleza. Las Hormigas,Año I. Número 1,marzo de 1906,1906-03-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,2,22-23
Alpha,5,"Gaviria, José A.",Creador,"Gaviria, J.A., Nápoles",Colombia,Napoles (de una cartera de viajes),Año I. Número 1,marzo de 1906,1906-03-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,3,24-27
Alpha,6,"Altenberg, Peter",Creador,NA,Austria,Doce Años,Año I. Número 1,marzo de 1906,1906-03-01,Sí,Anónimo,Español,Alemán,Prosa Ficción,NA,NA,NA,01.5,28-29
Alpha,7,"Montoya, José",Creador,NA,Colombia,Crónica literaria: Esta Omega del Alpha,Año I. Número 1,marzo de 1906,1906-03-01,No,NA,Español,NA,Prosa No Ficción,Crónica literaria,NA,NA,0.5,30
Alpha,8,"Montoya, José",Creador,NA,Colombia,Crónica literaria: Gabriel Latorre,Año I. Número 1,marzo de 1906,1906-03-01,No,NA,Español,NA,Reseña,Crónica literaria,NA,Kundry de Gabriel Latorre,03.5,30-34
Alpha,9,"Montoya, José",Creador,NA,Colombia,Crónica literaria: Sebastián Hoyos,Año I. Número 1,marzo de 1906,1906-03-01,No,NA,Español,NA,Reseña,Crónica literaria,NA,Hija espiritual de Alfonso Castro,01.5,34-35
Alpha,10,"Montoya, José",Creador,NA,Colombia,Crónica literaria: Sebastián Hoyos,Año I. Número 1,marzo de 1906,1906-03-01,No,NA,Español,NA,Prosa No Ficción,Conferencia,NA,NA,0.5,36
