NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Hispania,1,Anónimo,Director,NA,NA,Contenido,Año I. Vol I. Número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.2,1
Hispania,2a,"Pérez Triana, Santiago",Director,La Redacción,Colombia,Hispania,Año I. Vol I. Número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.3,1
Hispania,2b,"Sanín Cano, Baldomero",Editor,La Redacción,Colombia,Hispania,Año I. Vol I. Número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.3,1
Hispania,2c,"Pérez Lleras, Enrique",Editor,La Redacción,Colombia,Hispania,Año I. Vol I. Número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,0.3,1
Hispania,3,"Pérez Triana, Santiago",Director,HISPANO,Colombia,Notas editoriales,Año I. Vol I. Número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,Notas editoriales,NA,NA,1.3,1-2
Hispania,4,Anónimo,Creador,NA,NA,Amenidades de Mr. Roosevelt,Año I. Vol I. Número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,Editoriales,NA,NA,3.2,3-6
Hispania,5,"Pérez Triana, Santiago",Director,NA,Colombia,Voracidad imperialista,Año I. Vol I. Número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,Editoriales,NA,NA,0.5,6
Hispania,6,"Unamuno, Miguel de",Creador,NA,España,La filosofía republicana española,Año I. Vol I. Número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,Artículos generales,NA,NA,1.5,6-8
Hispania,7,"Pérez Lleras, Enrique",Editor,NA,Colombia,Fraternidad del mundo hispano. Parlante,Año I. Vol I. Número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa No Ficción,Artículos generales,NA,NA,1,8-9
Hispania,8,"Cunninghame Graham, Robert Bontie",Creador,R. B. Cunninghame Graham,Reino Unido,El río de la plata,Año I. Vol I. Número 1,enero 1 de 1912,1912-01-01,No,NA,Español,NA,Prosa Ficción,Artes y letras,NA,NA,2,9-11
