NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Revista Moderna. (Enciclopedia colombiana),1,Anónimo,Director,NA,NA,Revista Moderna. (Enciclopedia colombiana),1,Tomo I Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,Índice de autores,NA,NA,2,NA
Revista Moderna. (Enciclopedia colombiana),2,Anónimo,Director,NA,NA,Índice de autores,1,Tomo I Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,2,NA
Revista Moderna. (Enciclopedia colombiana),3a,"Cuervo Márquez, Emilio",Director,L. D.,Colombia,Revista Moderna,1,Tomo I Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,Prospecto,NA,NA,3.5,1-4
Revista Moderna. (Enciclopedia colombiana),3b,"Ramos Urdaneta, Alfredo",Director,L. D.,Colombia,Revista Moderna,1,Tomo I Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,3.5,1-4
Revista Moderna. (Enciclopedia colombiana),4,"Goyau, Georges",Creador,NA,Francia,Un nuevo pontificado,1,Tomo I Enero de 1915,1915-01-01,Sí,Anónimo,Español,Francés,Prosa No Ficción,NA,NA,NA,14.5,4-18
Revista Moderna. (Enciclopedia colombiana),5,"Carreño, Pedro M.",Creador,NA,Colombia,Desde Londres,1,Tomo I Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,6,19-24
Revista Moderna. (Enciclopedia colombiana),6,"Serao, Matilde",Creador,NA,Grecia,Poema de una noche de amor,1,Tomo I Enero de 1915,1915-01-01,Sí,Revista Moderna,Español,Italiano,Prosa Ficción,Novela,NA,NA,18,25-42
Revista Moderna. (Enciclopedia colombiana),7,"Restrepo Tirado, Ernesto",Creador,NA,Colombia,Sinsabores. De Gonzalo de Oviedo en tierra firme,1,Tomo I Enero de 1915,1915-01-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,14,43-56
Revista Moderna. (Enciclopedia colombiana),8,"Caro, Miguel Antonio",Creador,NA,Colombia,¡Mío!,1,Tomo I Enero de 1915,1915-01-01,No,NA,Español,NA,Poesía,Soneto,NA,NA,0.5,57
Revista Moderna. (Enciclopedia colombiana),9,"Caro, Miguel Antonio",Creador,NA,Colombia,Vida y muerte,1,Tomo I Enero de 1915,1915-01-01,No,NA,Español,NA,Poesía,Soneto,NA,NA,0.5,57
