NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Fecha-ISO,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion
Cvltura. Revista mensual,1,"López de Mesa, Luis",Director,NA,Colombia,PROBLEMAS METAFISICOS,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,19,1-20
Cvltura. Revista mensual,2,"Gómez Restrepo, Antonio",Creador,NA,Colombia,EN EL PALACIO LEOPARDI,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Poesía,NA,NA,NA,1,21
Cvltura. Revista mensual,3,"Pérez-Galdós, Benito",Creador,NA,España,MONÓLOGO DE PULIDO EL MENDIGO,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa Ficción,NA,NA,NA,1,22
Cvltura. Revista mensual,4,"Hawthorne, Nathaniel",Creador,NA,Estados Unidos,EL VELLOCINO DE ORO,1,"FEBRERO, MCMXV",1915-02-01,Sí,"Coradine, Alberto",Español,Inglés,Prosa Ficción,NA,NA,NA,04.5,23-27
Cvltura. Revista mensual,5,"Escobar Larrazábal, Melitón",Editor,"Escobar Larrazábal, M.",Colombia,LA TOPOGRAFIA DE LAS FRONTERAS. Ensayo sobre los elementos para una inteligencia en materia de limites,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,Ensayo,NA,NA,15.5,27-42
Cvltura. Revista mensual,6,Anónimo,Creador,NA,NA,LAS DOS LOGICAS,1,"FEBRERO, MCMXV",1915-02-01,Sí,"Coradine, Alberto",Español,NA,Prosa No Ficción,NA,NA,NA,03.2,43-46
Cvltura. Revista mensual,7,"Rivas, Raimundo",Editor,NA,Colombia,MEMORANDUM SOBRE LAS RELACIONES ENTRE COLOMBIA Y LA SANTA SEDE (Desde 1810),1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,18.8,46-64
Cvltura. Revista mensual,8,"Lemaître, Jules",Creador,NA,Francia,ANNA SOROR,1,"FEBRERO, MCMXV",1915-02-01,Sí,Anónimo,Español,Francés,Prosa Ficción,NA,NA,NA,7,65-71
Cvltura. Revista mensual,9a,"Nieto Caballero, Agustín",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,9b,"Aparicio, Alberto",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,9c,"Coradine, Alberto",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,9d,"Paláu, Alfonso",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,9e,"Molina Garcés, Ciro",Editor,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
Cvltura. Revista mensual,9f,"López de Mesa, Luis",Director,NA,Colombia,CULTURA,1,"FEBRERO, MCMXV",1915-02-01,No,NA,Español,NA,Prosa No Ficción,NA,NA,NA,1,72
